Name</item>
<item> 	</item>
<item> Type</item>
<item> 	</item>
<item> Cat.</item>
<item> 	</item>
<item> Power</item>
<item> 	</item>
<item> Acc.</item>
<item> 	</item>
<item> PP</item>
<item> 	</item>
<item> Effect</item>
<item> Acid Spray	Poison	Special 	40 	100 	20 	Sharply lowers opponent's Special Defense.</item>
<item> Sludge Wave	Poison	Special 	95 	100 	10 	May poison opponent.</item>
<item> Smack Down	Rock	Physical 	50 	100 	15 	Makes Flying-type Pokémon vulnerable to Ground moves.</item>
<item> Snarl	Dark	Special 	55 	95 	15 	Lowers opponent's Special Attack.</item>
<item> Soak	Water	Status 	— 	100 	20 	Changes the target's type to water.</item>
<item> Steamroller	Bug	Physical 	65 	100 	20 	May cause flinching.</item>
<item> Stored Power	Psychic	Special 	20 	100 	10 	Power increases when user's stats have been raised.</item>
<item> Storm Throw	Fighting	Physical 	60 	100 	10 	Always results in a critical hit.</item>
<item> Struggle Bug	Bug	Special 	50 	100 	20 	Lowers opponent's Special Attack.</item>
<item> Synchronoise	Psychic	Special 	120 	100 	10 	Hits any Pokémon that shares a type with the user.</item>
<item> Tail Slap	Normal	Physical 	25 	85 	10 	Hits 2-5 times in one turn.</item>
<item> Techno Blast	Normal	Special 	120 	100 	5 	Type depends on the Drive being held.</item>
<item> Telekinesis	Psychic	Status 	— 	— 	15 	Ignores opponent's Evasiveness for three turns, add Ground immunity.</item>
<item> V-create	Fire	Physical 	180 	95 	5 	Lowers user's Defense, Special Defense and Speed.</item>
<item> Venoshock	Poison	Special 	65 	100 	10 	Inflicts double damage if the target is poisoned.</item>
<item> Volt Switch	Electric	Special 	70 	100 	20 	User must switch out after attacking.</item>
<item> Water Pledge	Water	Special 	80 	100 	10 	Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.</item>
<item> Wide Guard	Rock	Status 	— 	— 	10 	Protects the user's team from multi-target attacks.</item>
<item> Wild Charge	Electric	Physical 	90 	100 	15 	User receives recoil damage.</item>
<item> Wonder Room	Psychic	Status 	— 	— 	10 	Swaps every Pokémon's Defense and Special Defense for 5 turns.</item>
<item> Work Up	Normal	Status 	— 	— 	30 	Raises user's Attack and Special Attack.
